lib,samplename,genome,input,homer_fmg_genome,basepath
118842,S0_2_Ets1,hg19,118850,hg19r,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20181019_Run_2531_cREL_and_ChiangLab_ChIPseq/ryan/Sample_118842
118843,5591_2_Ets1,hg19,118850,hg19r,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20181019_Run_2531_cREL_and_ChiangLab_ChIPseq/ryan/Sample_118843
118844,S0_1_Rbpj,hg19,,,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20181019_Run_2531_cREL_and_ChiangLab_ChIPseq/ryan/Sample_118844
118845,5591_1_Rbpj,hg19,,,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20181019_Run_2531_cREL_and_ChiangLab_ChIPseq/ryan/Sample_118845
118846,S0_1_Zmiz1,hg19,118850,hg19r,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20181019_Run_2531_cREL_and_ChiangLab_ChIPseq/ryan/Sample_118846
118847,S0_2_Zmiz1,hg19,118850,hg19r,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20181019_Run_2531_cREL_and_ChiangLab_ChIPseq/ryan/Sample_118847
118848,5591_1_Zmiz1,hg19,118850,hg19r,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20181019_Run_2531_cREL_and_ChiangLab_ChIPseq/ryan/Sample_118848
118849,5591_2_Zmiz1,hg19,118850,hg19r,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20181019_Run_2531_cREL_and_ChiangLab_ChIPseq/ryan/Sample_118849
118850,DSG_Input,hg19,,,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20181019_Run_2531_cREL_and_ChiangLab_ChIPseq/ryan/Sample_118850
118851,Formaldehyde_Input,hg19,,,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20181019_Run_2531_cREL_and_ChiangLab_ChIPseq/ryan/Sample_118851
118852,Karpas_Input,hg19,,,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20181019_Run_2531_cREL_and_ChiangLab_ChIPseq/ryan/Sample_118852
118853,Pfeiffer_Input,hg19,,,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20181019_Run_2531_cREL_and_ChiangLab_ChIPseq/ryan/Sample_118853
118854,BJAB_Input,hg19,,,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20181019_Run_2531_cREL_and_ChiangLab_ChIPseq/ryan/Sample_118854
118855,HBL1_Input,hg19,,,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20181019_Run_2531_cREL_and_ChiangLab_ChIPseq/ryan/Sample_118855
118856,Karpas_cRel,hg19,118852,hg19r,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20181019_Run_2531_cREL_and_ChiangLab_ChIPseq/ryan/Sample_118856
118857,Pfeiffer_cRel,hg19,118853,hg19r,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20181019_Run_2531_cREL_and_ChiangLab_ChIPseq/ryan/Sample_118857
118858,BJAB_cRel,hg19,118854,hg19r,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20181019_Run_2531_cREL_and_ChiangLab_ChIPseq/ryan/Sample_118858
118859,HBL1_cRel,hg19,118855,hg19r,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20181019_Run_2531_cREL_and_ChiangLab_ChIPseq/ryan/Sample_118859
